date,speaker,party,sentence
2020-10-22,TRUMP,Rep,"Because you’re the one that takes the money from Wall Street, not me."
2020-10-22,TRUMP,Rep,I could blow away your records like you wouldn’t believe.
2020-10-22,TRUMP,Rep,We don’t need money.
2020-10-22,TRUMP,Rep,We have plenty of money.
2020-10-22,TRUMP,Rep,"In fact, we beat Hillary Clinton with a tiny fraction of the money that she was able to get."
2020-10-22,TRUMP,Rep,Don’t tell me about Wall Street.
2020-10-22,BIDEN,Dem,"Average contribution, $43."
2020-10-22,BIDEN,Dem,I made it clear.
2020-10-22,BIDEN,Dem,And I asked everyone else to take the pledge.
2020-10-22,BIDEN,Dem,"I made it clear that any country, no matter who it is, that interferes in American elections will pay a price."
2020-10-22,BIDEN,Dem,They will pay a price.
2020-10-22,BIDEN,Dem,"It has been overwhelmingly clear in this election — I won’t even get into the last one — this election, that Russia has been involved."
2020-10-22,BIDEN,Dem,"China has been involved to some degree, and now we learned that, that Iran is involved."
2020-10-22,BIDEN,Dem,They will pay a price if I’m elected.
2020-10-22,BIDEN,Dem,They’re interfering with American sovereignty.
2020-10-22,BIDEN,Dem,That’s what’s going on right now.
2020-10-22,BIDEN,Dem,They’re interfering with American sovereignty.
2020-10-22,BIDEN,Dem,"And to the best of my knowledge, I don’t think the President has said anything to Putin about it."
2020-10-22,BIDEN,Dem,I don’t think he’s talking to him a lot.
2020-10-22,BIDEN,Dem,I don’t think he’s said a word.
2020-10-22,BIDEN,Dem,I don’t know why he hasn’t said a word to Putin about it.
2020-10-22,BIDEN,Dem,"And I don’t know what he has recently said, if anything, to the Iranians."
2020-10-22,BIDEN,Dem,My guess is he’d probably be more outspoken with regard to the Iranians.
2020-10-22,BIDEN,Dem,"But the point is this, folks."
2020-10-22,BIDEN,Dem,We are in a situation where we have foreign countries trying to interfere in the outcome of our election.
2020-10-22,BIDEN,Dem,"His own national security advisor told him that what is happening with his buddy — well, I won’t, I shouldn’t — I will — his buddy Rudy Giuliani."
2020-10-22,BIDEN,Dem,He’s being used as a Russian pawn.
2020-10-22,BIDEN,Dem,"He’s being fed information that is Russian, that is not true."
2020-10-22,BIDEN,Dem,And then what happens?
2020-10-22,BIDEN,Dem,Nothing happens.
2020-10-22,BIDEN,Dem,"And then you find out that everything is going on here about Russia is wanting to make sure that I do not get elected the next President of the United States because they know I know them, and they know me."
